Threshold,Action_Set,Average_Utility,Frequency
0.6,"[""100nM_PgP""]",2016.1537783264257,1
0.6,"[""100nM_PgP"", ""1uM_PgP""]",2170.1407113079817,5
0.6,"[""100nM_PgP"", ""1uM_PgP"", ""100nM_BCRP""]",2682.0310652054077,1
0.6,"[""1uM_PgP""]",1702.2159782038716,18
0.6,"[""1uM_PgP"", ""100nM_BCRP""]",2409.2453796710315,4
0.4,"[""kpuu""]",3999.1446324602275,6
0.4,"[""100nM_PgP"", ""1uM_PgP""]",2864.366117475264,16
0.4,"[""100nM_PgP"", ""1uM_PgP"", ""100nM_BCRP""]",3428.9951137830367,4
0.4,"[""1uM_PgP""]",2460.173037777304,6
0.4,"[""1uM_PgP"", ""100nM_BCRP""]",3118.5916464855572,5
0.3,"[""kpuu""]",3999.495657749959,10
0.0,"[""kpuu""]",4000.989930626244,47
0.0,"[""100nM_PgP"", ""kpuu""]",47766.74187827497,2
0.0,"[""1uM_PgP""]",90752.82448288362,1
0.5,"[""100nM_PgP"", ""1uM_PgP""]",2202.2035698620416,11
0.5,"[""100nM_PgP"", ""1uM_PgP"", ""100nM_BCRP""]",2994.0235294593263,2
0.5,"[""1uM_PgP""]",1966.6138899615325,19
0.5,"[""1uM_PgP"", ""100nM_BCRP""]",2511.5428721799976,13
0.2,"[""kpuu""]",4000.024883003671,10
0.8451438931441656,,0.0,50
0.1,"[""kpuu""]",4000.003250769945,18
0.1,"[""kpuu"", ""100nM_BCRP""]",4400.0,1
0.8,"[""100nM_PgP"", ""1uM_PgP""]",800.8345452692622,4
0.8,"[""1uM_PgP""]",400.01846194046817,39
0.8,"[""1uM_PgP"", ""100nM_BCRP""]",800.2601292763673,2
0.7,"[""100nM_PgP"", ""1uM_PgP""]",800.7827661108888,41
0.7,"[""100nM_PgP"", ""1uM_PgP"", ""100nM_BCRP""]",1707.8935659721074,2
0.7,"[""1uM_PgP""]",561.4144636859834,6
0.7,"[""1uM_PgP"", ""100nM_BCRP""]",1367.5172007076853,1
