Threshold,Action_Set,Average_Utility,Frequency
0.3,"[""100nM_BCRP""]",496.53048951982163,20
0.3,"[""100nM_PgP"", ""1uM_PgP""]",880.2160702228236,1
1.0,"[""100nM_BCRP""]",492.6090752642658,2
0.7,"[""100nM_BCRP""]",493.84020680149325,10
0.0,"[""kpuu""]",4049.0765214994367,26
0.0,"[""kpuu"", ""1uM_PgP""]",4431.571296102876,11
0.0,"[""100nM_PgP"", ""kpuu""]",4434.203377860279,7
0.0,"[""kpuu"", ""100nM_BCRP""]",4432.068931101782,6
0.2,"[""100nM_BCRP""]",502.5154132804931,18
0.2,"[""100nM_PgP"", ""100nM_BCRP""]",883.5441315827738,3
0.2,"[""100nM_PgP"", ""1uM_PgP""]",885.4527226036091,5
0.2,"[""1uM_PgP"", ""100nM_BCRP""]",889.3216002780163,2
0.9,"[""100nM_BCRP""]",492.6527113108575,3
0.8,"[""100nM_BCRP""]",492.6803872920737,12
0.5,"[""100nM_BCRP""]",506.59318779322757,6
0.1,"[""100nM_BCRP""]",503.5949462780932,24
0.1,"[""100nM_PgP"", ""100nM_BCRP""]",886.6631209667181,7
0.1,"[""100nM_PgP"", ""1uM_PgP""]",892.3948289658279,8
0.1,"[""100nM_PgP"", ""1uM_PgP"", ""100nM_BCRP""]",1273.5968094067575,1
0.1,"[""1uM_PgP"", ""100nM_BCRP""]",887.4224829313795,10
0.4,"[""100nM_BCRP""]",500.3793396651709,14
0.4,"[""100nM_PgP"", ""1uM_PgP""]",874.4772500036543,2
0.6,"[""100nM_BCRP""]",496.22681298660405,9
